ticker,year,cluster,is_noise,top_theme,theme_label
AAPL,2019,3,False,3,"AAPL, ABBV, ABT, CVX, JNJ"
ABBV,2019,3,False,3,"AAPL, ABBV, ABT, CVX, JNJ"
ABT,2019,3,False,3,"AAPL, ABBV, ABT, CVX, JNJ"
ACN,2019,2,False,2,"ACN, ADBE, AMD, AMZN, AVGO"
ADBE,2019,2,False,2,"ACN, ADBE, AMD, AMZN, AVGO"
AMD,2019,2,False,2,"ACN, ADBE, AMD, AMZN, AVGO"
AMZN,2019,2,False,2,"ACN, ADBE, AMD, AMZN, AVGO"
AVGO,2019,2,False,2,"ACN, ADBE, AMD, AMZN, AVGO"
BAC,2019,0,False,0,"BAC, BRK-B, JPM, SPGI, WFC"
BRK-B,2019,0,False,0,"BAC, BRK-B, JPM, SPGI, WFC"
COST,2019,2,False,2,"ACN, ADBE, AMD, AMZN, AVGO"
CRM,2019,2,False,2,"ACN, ADBE, AMD, AMZN, AVGO"
CSCO,2019,1,False,1,"CSCO, KO, MA, NEE, NFLX"
CVX,2019,3,False,3,"AAPL, ABBV, ABT, CVX, JNJ"
DIS,2019,-1,True,-1,noise
GE,2019,2,False,2,"ACN, ADBE, AMD, AMZN, AVGO"
GOOGL,2019,2,False,2,"ACN, ADBE, AMD, AMZN, AVGO"
GS,2019,-1,True,-1,noise
HD,2019,2,False,2,"ACN, ADBE, AMD, AMZN, AVGO"
IBM,2019,2,False,2,"ACN, ADBE, AMD, AMZN, AVGO"
INTU,2019,2,False,2,"ACN, ADBE, AMD, AMZN, AVGO"
JNJ,2019,3,False,3,"AAPL, ABBV, ABT, CVX, JNJ"
JPM,2019,0,False,0,"BAC, BRK-B, JPM, SPGI, WFC"
KO,2019,1,False,1,"CSCO, KO, MA, NEE, NFLX"
LIN,2019,3,False,3,"AAPL, ABBV, ABT, CVX, JNJ"
LLY,2019,3,False,3,"AAPL, ABBV, ABT, CVX, JNJ"
MA,2019,1,False,1,"CSCO, KO, MA, NEE, NFLX"
MCD,2019,2,False,2,"ACN, ADBE, AMD, AMZN, AVGO"
META,2019,2,False,2,"ACN, ADBE, AMD, AMZN, AVGO"
MRK,2019,3,False,3,"AAPL, ABBV, ABT, CVX, JNJ"
MS,2019,2,False,2,"ACN, ADBE, AMD, AMZN, AVGO"
MSFT,2019,2,False,2,"ACN, ADBE, AMD, AMZN, AVGO"
NEE,2019,1,False,1,"CSCO, KO, MA, NEE, NFLX"
NFLX,2019,1,False,1,"CSCO, KO, MA, NEE, NFLX"
NVDA,2019,2,False,2,"ACN, ADBE, AMD, AMZN, AVGO"
ORCL,2019,2,False,2,"ACN, ADBE, AMD, AMZN, AVGO"
PEP,2019,1,False,1,"CSCO, KO, MA, NEE, NFLX"
PG,2019,3,False,3,"AAPL, ABBV, ABT, CVX, JNJ"
PM,2019,3,False,3,"AAPL, ABBV, ABT, CVX, JNJ"
QCOM,2019,1,False,1,"CSCO, KO, MA, NEE, NFLX"
RTX,2019,3,False,3,"AAPL, ABBV, ABT, CVX, JNJ"
SPGI,2019,0,False,0,"BAC, BRK-B, JPM, SPGI, WFC"
TMO,2019,3,False,3,"AAPL, ABBV, ABT, CVX, JNJ"
TSLA,2019,2,False,2,"ACN, ADBE, AMD, AMZN, AVGO"
TXN,2019,-1,True,-1,noise
UNH,2019,3,False,3,"AAPL, ABBV, ABT, CVX, JNJ"
V,2019,1,False,1,"CSCO, KO, MA, NEE, NFLX"
WFC,2019,0,False,0,"BAC, BRK-B, JPM, SPGI, WFC"
WMT,2019,1,False,1,"CSCO, KO, MA, NEE, NFLX"
XOM,2019,-1,True,-1,noise
