ticker,year,cluster,is_noise,top_theme,theme_label
AAPL,2023,5,False,5,"AAPL, AMD, COST, CSCO, GE"
ABBV,2023,4,False,4,"ABBV, JNJ, MRK, UNH"
ABT,2023,-1,True,-1,noise
ACN,2023,3,False,3,"ACN, CRM, KO, META"
ADBE,2023,1,False,1,"ADBE, BAC, CVX, INTU, LIN"
AMD,2023,5,False,5,"AAPL, AMD, COST, CSCO, GE"
AMZN,2023,6,False,6,"AMZN, AVGO, PM, QCOM"
AVGO,2023,6,False,6,"AMZN, AVGO, PM, QCOM"
BAC,2023,1,False,1,"ADBE, BAC, CVX, INTU, LIN"
BRK-B,2023,0,False,0,"BRK-B, MS, PG"
COST,2023,5,False,5,"AAPL, AMD, COST, CSCO, GE"
CRM,2023,3,False,3,"ACN, CRM, KO, META"
CSCO,2023,5,False,5,"AAPL, AMD, COST, CSCO, GE"
CVX,2023,1,False,1,"ADBE, BAC, CVX, INTU, LIN"
DIS,2023,-1,True,-1,noise
GE,2023,5,False,5,"AAPL, AMD, COST, CSCO, GE"
GOOGL,2023,5,False,5,"AAPL, AMD, COST, CSCO, GE"
GS,2023,-1,True,-1,noise
HD,2023,-1,True,-1,noise
IBM,2023,-1,True,-1,noise
INTU,2023,1,False,1,"ADBE, BAC, CVX, INTU, LIN"
JNJ,2023,4,False,4,"ABBV, JNJ, MRK, UNH"
JPM,2023,-1,True,-1,noise
KO,2023,3,False,3,"ACN, CRM, KO, META"
LIN,2023,1,False,1,"ADBE, BAC, CVX, INTU, LIN"
LLY,2023,5,False,5,"AAPL, AMD, COST, CSCO, GE"
MA,2023,5,False,5,"AAPL, AMD, COST, CSCO, GE"
MCD,2023,2,False,2,"MCD, ORCL, RTX, V"
META,2023,3,False,3,"ACN, CRM, KO, META"
MRK,2023,4,False,4,"ABBV, JNJ, MRK, UNH"
MS,2023,0,False,0,"BRK-B, MS, PG"
MSFT,2023,-1,True,-1,noise
NEE,2023,5,False,5,"AAPL, AMD, COST, CSCO, GE"
NFLX,2023,-1,True,-1,noise
NVDA,2023,-1,True,-1,noise
ORCL,2023,2,False,2,"MCD, ORCL, RTX, V"
PEP,2023,-1,True,-1,noise
PG,2023,0,False,0,"BRK-B, MS, PG"
PM,2023,6,False,6,"AMZN, AVGO, PM, QCOM"
QCOM,2023,6,False,6,"AMZN, AVGO, PM, QCOM"
RTX,2023,2,False,2,"MCD, ORCL, RTX, V"
SPGI,2023,1,False,1,"ADBE, BAC, CVX, INTU, LIN"
TMO,2023,-1,True,-1,noise
TSLA,2023,1,False,1,"ADBE, BAC, CVX, INTU, LIN"
TXN,2023,1,False,1,"ADBE, BAC, CVX, INTU, LIN"
UNH,2023,4,False,4,"ABBV, JNJ, MRK, UNH"
V,2023,2,False,2,"MCD, ORCL, RTX, V"
WFC,2023,1,False,1,"ADBE, BAC, CVX, INTU, LIN"
WMT,2023,1,False,1,"ADBE, BAC, CVX, INTU, LIN"
XOM,2023,1,False,1,"ADBE, BAC, CVX, INTU, LIN"
